Items,,,,,,,,work scheduling autonomy 1,work scheduling autonomy 2,work scheduling autonomy 3,decision making autonomy 1,decision making autonomy 2,decision making autonomy 3,work methods autonomy 1,work methods autonomy 2,work methods autonomy 3,task variety 1,task variety 2,task variety 3,task variety 4,task significance 1,task significance 2,task significance 3,task significance 4,task identity 1,task identity 2,task identity 3,task identity 4,feedback from job 1,feedback from job 2,feedback from job 3,job complexity 1,job complexity 2,job complexity 3,job complexity 4,information processing 1,information processing 2,information processing 3,information processing 4,problem solving 1,problem solving 2,problem solving 3,problem solving 4,skill variety 1,skill variety 2,skill variety 3,skill variety 4,specialization 1,specialization 2,specialization 3,specialization 4,social support 1,social support 2,social support 3,social support 4,social support 5,social support 6,initiated interdependence 1,initiated interdepenence 2,initiated interdependence 3,received interdependence 1,received interdependence 2,received interdependence 3,interaction outside research group 1,interaction outside research group 2,interaction outside research group 3,interaction outside research group 4,feedback from others 1,feedback from others 2,feedback from others 3,faculty/project leader feedback 1,faculty/projecdt leader feedback 2,faculty/project leader feedback 3,peer feedback 1,peer feedback 2,peer feedback 3,ergonomics 1,ergonomics 2,ergonomics 3,physical demands 1,physical demands 2,physical demands 3,work conditions 1,work conditions 2,work conditions 3,work conditions 4,work conditions 5,equipment use 1,equipment use 2,equipment use 3,
Cases,User,"What type of 
organization do 
you work in?","Which of degrees 
did you earn and what
 year did you earn them 
in (fill all that apply)","In which year did 
you work at the 
position for which 
you are answering the survey?","How do you spend 
your time in 
this job (fieldwork)?","How do you 
spend your 
time in this 
job (lab work)?","How do you 
spend your 
time in this
 job (computer work)?",The job allows me to make my own decisions about how to schedule my work.,The job allows me to decide on the order in which things are done.,The job allows me to plan how I do my work.,The job gives me a chance to use my personal initiative or judgment in carrying out the work.,The job allows me to make a lot of decisions on my own.,The job provides me with significant autonomy in making decisions.,The job allows me to make decisions about what methods I use to complete my work.,The job gives me considerable opportunity for independence and freedom in how I do the work.,The job allows me to decide on my own how to go about doing my work.,The job involves a great deal of task variety.,The job involves doing a number of different things.,The job requires the performance of a wide range of tasks.,The job involves performing a variety of tasks.,The results of my work are likely to significantly affect the lives of other people.,The job itself is very significant and important in the broader scheme of things.,The job has a large impact on people outside the organization.,The work performed on the job has a significant impact on people outside the organization.,The job involves completing a piece of work that has an obvious beginning and end.,The job is arranged so that I can do an entire piece of work from beginning to end.,The job provides me the chance to completely finish the pieces of work I begin.,The job allows me to complete work I start.,"The work activities themselves provide direct and clear information about the effectiveness (e.g., quality and quantity) of my performance.",The job itself provides feedback on my performance.,The job itself provides me with information about my performance.,The job requires that I only do one task or activity at a time.,The tasks of the job are simple and uncomplicated.,The job comprises relatively uncomplicated tasks.,The job involves performing relatively simple tasks.,The job requires me to monitor a great deal of information.,The job requires that I engage in a large amount of thinking.,The job requires me to keep track of more than one thing at a time.,The job requires me to analyze a lot of information.,The job involves solving problems that have no obvious correct answer.,The job requires me to be creative.,The job often involves dealing with problems that I have not met before.,The job requires unique ideas or solutions to problems.,The job requires a variety of skills.,The job requires me to utilize a variety of different skills in order to complete the work.,The job requires me to use a number of complex or high-level skills.,The job requires the use of a number of skills.,"The job is highly specialized in terms of purpose, tasks, or activities.","The tools, procedures, materials, and so forth used in this job are highly specialized in terms of purpose.",The job requires very specialized knowledge and skills.,The job requires a depth of knowledge and expertise.,I have the opportunity to develop close friendships in this job.,I have the chance in this job to get to know other people.,I have the opportunity to meet with others in this job.,My supervisor is concerned about the welfare of the people that work for him/her/them.,People I work with take a personal interest in me.,People I work with are friendly.,The job requires me to accomplish my work before others complete their job.,Other jobs depend directly on my job.,"Unless my job gets done, other jobs cannot be completed.",The job activities are greatly affected by the work of other people.,The job depends on the work of many different people for its completion.,My job cannot be done unless others do their work.,The job requires spending a great deal of time with people outside my organization.,The job involves interaction with people who are not members of my organization.,"On the job, I frequently communicate with people who do not work for the same organization as I do.",The job involves a great deal of interaction with people outside my organization.,I receive a great deal of information from my manager and coworkers about my job performance.,"Other people in the organization, such as managers and coworkers, provide information about the effectiveness (e.g., quality and quantity) of my job performance.",I receive feedback on my performance from other people in my organization (such as my manager or coworkers ).,I receive a great deal of information from my manager about my job performance.,"My manager provides information about the effectiveness (e.g., quality and quantity) of my job performance.",I receive feedback on my performance from my manager.,I receive a great deal of information from my coworkers about my job performance.,"Other in the organization provide information about the effectiveness (e.g., quality and quantity) of my job performance.",I receive feedback on my performance from other people in my organizaiton.,"The seating arrangements on the job are adequate (e.g., ample opportunities to sit, comfortable chairs, good postural support).","The work place allows for all size differences between people in terms of clearance, reach, eye height, legroom, etc.",The job involves excessive reaching.,The job requires a great deal of muscular endurance.,The job requires a great deal of muscular strength.,The job requires a lot of physical effort.,The work place is free from excessive noise.,The climate at the work place is comfortable in terms of temperature and humidity.,The job has a low risk of accident.,"The job takes place in an environment free from health hazards (e.g., chemicals, fumes, etc.).",The job occurs in a clean environment.,The job involves the use of a variety of different equipment.,The job involves the use of complex equipment or technology.,A lot of time was required to learn the equipment used on the job.,Unique questions for workers
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake Case 26,4,1,1,2015,28,36,36,2,2,1,2,2,2,2,3,2,7,6,2,6,2,6,2,5,5,2,5,2,2,4,2,7,2,4,4,2,4,3,2,5,2,7,2,2,5,2,3,2,5,2,4,4,2,1,2,2,1,2,4,2,6,7,2,7,2,5,4,2,2,2,2,2,2,2,2,1,1,2,4,2,6,2,7,5,2,5,2,2,3,2,
Fake Case 27,4,0,7,2019,11,6,83,3,2,7,3,2,3,2,7,3,7,6,7,6,7,6,7,5,5,7,5,2,7,4,3,7,7,4,7,4,4,7,4,5,7,7,2,2,5,4,7,3,2,7,4,2,7,1,1,7,4,1,7,5,6,7,6,7,7,5,4,7,4,3,7,2,7,2,1,7,1,4,4,4,6,7,6,5,7,5,3,7,3,2,
Fake Case 28,5,6,2,2015,28,9,63,3,2,1,3,2,3,2,3,3,7,6,4,6,7,6,5,5,5,4,5,2,5,4,4,4,6,7,4,4,4,3,4,5,7,2,4,5,2,4,3,2,5,5,2,6,6,1,1,4,1,4,4,5,6,7,6,7,4,5,4,4,4,3,2,2,2,2,1,1,1,4,4,4,7,7,6,5,5,5,3,3,3,3,
Fake Case 29,7,0,7,2020,10,25,65,2,7,2,4,3,4,6,4,4,7,4,7,4,7,7,6,6,6,5,6,3,6,4,4,6,4,5,7,7,7,4,5,6,2,4,5,6,6,2,2,4,6,2,5,5,2,2,4,1,2,2,4,6,7,7,7,7,5,6,4,4,3,4,3,3,3,3,2,2,2,4,5,7,4,7,7,6,6,6,4,3,3,4,
Fake Case 30,7,0,7,2017,34,41,25,3,1,7,1,7,1,6,1,1,4,4,4,4,4,4,3,3,3,2,3,1,3,4,1,3,4,4,2,2,2,7,2,2,4,4,2,3,3,4,1,2,2,6,2,2,1,4,1,5,1,1,2,4,4,4,4,4,2,4,2,1,1,1,1,4,1,1,1,1,4,2,7,2,4,4,4,3,3,3,3,1,4,1,
Fake Case 31,7,0,6,2015,41,52,7,1,3,4,7,2,3,6,4,7,6,7,7,6,7,4,7,5,5,7,5,4,4,4,3,7,6,4,4,4,4,7,7,2,7,7,4,7,2,2,4,2,6,7,2,4,4,1,1,7,5,1,7,4,6,7,6,7,4,5,4,7,2,3,7,4,7,2,1,4,1,7,7,4,6,7,4,5,7,3,3,4,3,2,
Fake Case 32,8,2,4,2016,31,24,45,1,2,3,6,7,3,4,6,6,6,6,7,6,6,2,4,5,5,4,4,2,5,4,3,5,6,4,4,4,4,3,2,7,2,7,4,2,5,2,3,6,2,2,4,4,1,1,1,2,1,1,1,5,4,7,6,4,4,5,4,3,2,3,2,2,2,2,4,1,7,4,4,4,6,7,6,4,5,3,4,3,3,2,
Fake Case 33,10,2,7,2017,32,15,53,2,3,2,3,6,7,3,4,6,7,7,7,7,2,2,6,4,6,4,6,3,6,5,4,6,7,5,5,5,2,2,5,6,7,2,5,6,6,2,6,4,4,6,2,2,2,2,2,3,2,2,5,1,7,4,7,4,5,6,5,4,3,4,3,3,4,4,2,7,2,5,5,5,7,7,7,3,3,4,4,4,4,3,
