Items,Work Scheduling Autonomy,Decision Making Autonomy,Work Methods Autonomy,Task Variety,Task Significance,Task Identity,Feedback from Job,Job Complexity,Information Processing,Problem Solving,Skill Variety,Specialization,Social Support,Initiated Interdependence ,Received Interdependence,Interaction Outside Research Group,Feedback from Others,Faculty/projecdt leader feedback,Peer Feedback,Ergonomics,Physical Demands,Work Conditions,Equipment Use
Cases,Average Work Scheduling Autonomy,Average Decision Making Autonmy,Average Work Methods Autonomy,Average Task Variety,Average Task Significance ,Average Task Identity,Average Feedback from Job,Average Job Complexity,Average Information Processing,Average Problem Solving,Average Skill Variety,Average Specialization,Average Social Support,Average Initiated Interdependence,Average Received Interdependence,Average Interaction Outside Research Group,Average Feedback from Others,Average Faculty/project leader feedback,Average Peer Feedback,Average Ergonomics,Average Physical Demands,Average Work Conditions,Average Equipment Use
Fake Case 1,5.33,2.67,4.00,6.50,6.25,4.75,4.67,6.00,4.75,5.75,5.00,4.00,4.00,4.33,6.33,5.75,4.67,5.33,3.33,3.00,5.67,5.20,4.00
Fake Case 2,3.33,2.67,2.67,5.75,5.75,4.00,4.33,4.50,3.75,5.75,4.00,4.00,2.00,4.33,6.33,5.00,3.67,2.00,1.33,3.00,5.67,4.80,2.67
Fake Case 3,3.67,3.67,4.67,5.50,6.50,5.00,4.67,5.00,4.75,5.50,4.50,5.25,3.00,4.00,7.00,5.50,3.67,3.00,2.33,3.67,5.33,5.80,4.00
Fake Case 4,4.67,3.00,2.67,4.00,3.50,2.25,2.67,3.25,1.75,3.25,2.75,2.25,1.67,2.33,4.00,3.00,1.00,2.00,1.00,2.67,3.33,2.80,2.00
Fake Case 5,3.67,5.67,5.67,6.50,5.75,5.25,3.67,5.25,4.75,5.00,3.75,4.25,3.00,4.00,6.33,5.00,4.00,6.00,2.33,4.00,5.67,4.80,3.00
Fake Case 6,3.33,6.33,5.33,6.25,4.25,3.75,4.00,4.75,3.25,4.50,3.50,4.50,1.67,3.33,5.67,4.25,2.67,2.00,2.33,3.00,5.67,4.80,2.67
Fake Case 7,2.33,4.67,5.67,7.00,3.50,4.75,5.00,5.75,4.00,5.00,5.25,4.75,2.17,4.33,6.00,5.00,3.67,3.33,2.67,4.00,6.33,5.00,3.67
Fake Case 8,1.00,2.00,5.00,3.50,4.00,2.50,2.00,2.75,1.75,3.25,2.00,2.50,1.33,2.00,4.00,2.75,1.00,1.00,1.00,1.67,3.33,3.00,3.00
Fake Case 9,3.67,2.67,4.00,5.25,5.00,4.75,4.67,6.00,4.25,5.75,5.00,4.75,4.17,4.33,6.33,5.75,4.67,5.33,3.33,3.00,3.67,5.20,7.00
Fake Case 10,1.33,2.67,4.00,5.25,5.00,4.00,4.33,4.50,3.25,5.75,4.00,4.25,2.17,4.33,6.33,5.00,3.67,2.00,1.33,3.00,4.00,3.80,2.67
Fake Case 11,2.00,3.67,4.67,6.25,6.50,4.00,4.67,4.25,4.75,5.50,5.00,5.25,3.00,4.00,7.00,5.50,3.67,3.00,2.33,3.67,5.33,4.00,5.00
